 ,time,force,units, ,x ,y ,z, 
b',57420,-0.178,kg,\r\n'b',1615, 3458,226,\r\n'
b',57805,-0.178,kg,\r\n'b',1609, 3436,163,\r\n'
b',58190,-0.178,kg,\r\n'b',1576, 3599,279,\r\n'
b',58575,-0.178,kg,\r\n'b',1618, 3600,137,\r\n'
b',58960,-0.179,kg,\r\n'b',1615, 3912,849,\r\n'
b',59345,-0.177,kg,\r\n'b',1506, 3609,202,\r\n'
b',59730,-0.177,kg,\r\n'b',1721, 3951,474,\r\n'
b',60115,-0.178,kg,\r\n'b',1563, 3497,358,\r\n'
b',60500,-0.178,kg,\r\n'b',1687, 3847,941,\r\n'
b',60886,-0.178,kg,\r\n'b',1643, 3919,860,\r\n'
b',61271,-0.178,kg,\r\n'b',1824, 4049,444,\r\n'
b',61656,-0.178,kg,\r\n'b',1704, 3994,492,\r\n'
b',62041,-0.178,kg,\r\n'b',1643, 3933,611,\r\n'
b',62426,-0.178,kg,\r\n'b',1749, 3656,-243,\r\n'
b',62811,-0.178,kg,\r\n'b',1509, 3569,454,\r\n'
b',63196,-0.178,kg,\r\n'b',1597, 3848,633,\r\n'
b',63581,-0.178,kg,\r\n'b',1601, 3865,842,\r\n'
b',63966,-0.178,kg,\r\n'b',1717, 4002,508,\r\n'
b',64351,-0.178,kg,\r\n'b',1684, 4060,1208,\r\n'
b',64736,-0.178,kg,\r\n'b',1791, 3525,-287,\r\n'
b',65121,-0.178,kg,\r\n'b',1570, 3509,243,\r\n'
b',65506,-0.178,kg,\r\n'b',1530, 3674,417,\r\n'
b',65891,-0.178,kg,\r\n'b',1551, 3820,683,\r\n'
b',66276,-0.178,kg,\r\n'b',1623, 3892,605,\r\n'
b',66661,-0.178,kg,\r\n'b',1583, 3925,-478,\r\n'
b',67046,-0.179,kg,\r\n'b',1755, 3642,-189,\r\n'
b',67431,-0.179,kg,\r\n'b',1603, 3535,117,\r\n'
b',67816,-0.178,kg,\r\n'b',1548, 3542,319,\r\n'
b',68201,-0.178,kg,\r\n'b',1568, 3642,436,\r\n'
b',68586,-0.178,kg,\r\n'b',1596, 3773,592,\r\n'
b',68971,-0.178,kg,\r\n'b',2002, 1891,-1444,\r\n'
b',69356,-0.178,kg,\r\n'b',1761, 3676,-215,\r\n'
