Index,Time,Difference,Hz,AveHz,0x6829 Acceleration-X,0x6829 Acceleration-Y,0x6829 Acceleration-Z,0x6829 Range,0x6829 Smoothed Range,0x6126 Acceleration-X,0x6126 Acceleration-Y,0x6126 Acceleration-Z,0x6126 Range,0x6126 Smoothed Range,
720,33.87200403213501,0.043107032775878906,23.198070839140726,21.256492509770677,-329.0,-108.0,987.0,25,29.56127707986762,-30.0,211.0,955.0,3589,3586.2812177868645,
721,33.91711139678955,0.045107364654541016,22.169328837066715,21.257706517667856,-230.0,-88.0,1026.0,0,2.956127707986761,-30.0,211.0,951.0,3575,3576.1281217786864,
722,33.96475338935852,0.04764199256896973,20.989886150381583,21.257330848932632,-78.0,-244.0,1067.0,16,14.695612770798677,-30.0,210.0,951.0,3584,3583.2128121778683,
723,34.01200294494629,0.047249555587768555,21.16422022514999,21.257201499432064,-74.0,-222.0,963.0,25,23.96956127707987,-31.0,209.0,952.0,3533,3538.021281217787,
724,34.060484409332275,0.04848146438598633,20.62643966441435,21.256303677279185,-181.0,-43.0,1168.0,53,50.09695612770799,-29.0,211.0,956.0,3566,3563.2021281217785,
725,34.10734748840332,0.04686307907104492,21.33876006064368,21.25641697134331,-491.0,-137.0,1244.0,96,91.4096956127708,-31.0,210.0,964.0,3561,3561.220212812178,
726,34.153714656829834,0.04636716842651367,21.566984440399427,21.25683859851594,-528.0,-160.0,937.0,100,99.14096956127707,-29.0,210.0,957.0,3589,3586.2220212812176,
727,34.20037841796875,0.046663761138916016,21.429905682549737,21.257074735115708,-700.0,-341.0,801.0,96,96.31409695612771,-29.0,211.0,961.0,3575,3576.122202128122,
728,34.24824595451355,0.047867536544799805,20.8909852518541,21.256563065065745,-548.0,-415.0,885.0,152,146.43140969561279,-30.0,207.0,964.0,3584,3583.212220212812,
729,34.294703245162964,0.04645729064941406,21.5251467750544,21.256926901760565,-385.0,-659.0,835.0,58,66.84314096956128,-30.0,211.0,963.0,3570,3571.3212220212813,
730,34.34260129928589,0.047898054122924805,20.877674851542317,21.256397954198636,-36.0,-661.0,890.0,208,193.88431409695613,-29.0,211.0,963.0,3598,3595.332122202128,
731,34.39059114456177,0.047989845275878906,20.837741698296934,21.255813746475656,334.0,-488.0,1058.0,180,181.3884314096956,-31.0,209.0,965.0,3580,3581.5332122202126,
732,34.43907141685486,0.04848027229309082,20.626946852823583,21.254928483401304,24.0,-753.0,1755.0,232,226.93884314096957,-30.0,210.0,965.0,3542,3545.9533212220213,
