Index,Time,Difference,Hz,AveHz,0x6030 Acceleration-X,0x6030 Acceleration-Y,0x6030 Acceleration-Z,0x6030 Range,0x6030 Smoothed Range,0x6030 Velocity,
38,1.04274320602417,0.025616884231567383,39.03675368793336,36.44233765366695,6.0,8.0,1014.0,1433,1459.010549357995,-459.46932613205456,
39,1.0702359676361084,0.027492761611938477,36.373210305863175,36.440561875472696,4.0,6.0,1005.0,1438,1454.8084394863959,-398.1443061232471,
40,1.0973870754241943,0.027151107788085938,36.83090972953987,36.45021970441744,7.0,5.0,1018.0,1471,1458.0467515891169,-294.6614487523189,
41,1.1263470649719238,0.028959989547729492,34.53039920307573,36.40085838109055,4.0,8.0,1006.0,1452,1456.8374012712936,-244.0810288520157,
42,1.1546721458435059,0.02832508087158203,35.30440052523484,36.37396134581418,5.0,9.0,1016.0,1372,1439.869921017035,-315.07016684168434,
43,1.1806671619415283,0.02599501609802246,38.46891251112069,36.420086359723406,3.0,5.0,1009.0,1457,1443.2959368136283,-225.69711308517506,
44,1.2089159488677979,0.02824878692626953,35.39975017723912,36.39624412367783,3.0,5.0,1017.0,1508,1456.2367494509026,-88.93738357814588,
45,1.2356350421905518,0.026719093322753906,37.426419673769495,36.418520407306794,4.0,6.0,1008.0,1513,1467.589399560722,13.82790262139713,
46,1.2626571655273438,0.027022123336791992,37.00671437016384,36.43110834506553,5.0,7.0,1012.0,1457,1465.471519648578,-4.612833298687843,
47,1.2916512489318848,0.028994083404541016,34.48979524710139,36.38753110707405,5.0,7.0,1016.0,1438,1459.9772157188622,-41.589750151197876,
48,1.319343090057373,0.02769184112548828,36.111719530254504,36.38174206673767,6.0,8.0,1007.0,1447,1457.3817725750898,-52.01698309388449,
49,1.3478150367736816,0.028471946716308594,35.12229107352202,36.355136768093374,1.0,5.0,1014.0,1494,1464.705418060072,9.831055213457603,
50,1.375739336013794,0.027924299240112305,35.811104565286065,36.34409418347741,5.0,7.0,1007.0,1447,1461.1643344480576,-17.497178930086843,
51,1.4021520614624023,0.0264127254486084,37.86053816921369,36.372659857454074,4.0,7.0,1015.0,1461,1461.1314675584463,-14.246614769796178,
52,1.4290859699249268,0.026933908462524414,37.12792004886296,36.38689420674368,5.0,6.0,1007.0,1475,1463.905174046757,9.19909873156649,
53,1.456869125366211,0.02778315544128418,35.99303189709176,36.37938307373867,6.0,5.0,1018.0,1532,1477.5241392374057,105.39684868773286,
54,1.48384428024292,0.026975154876708984,37.071149528910574,36.39195885915985,7.0,7.0,1012.0,1579,1497.8193113899247,234.7905512663886,
55,1.5121722221374512,0.02832794189453125,35.30083490438998,36.371518531307004,4.0,4.0,1017.0,1532,1504.6554491119398,236.0967148348165,
56,1.5389859676361084,0.026813745498657227,37.294304894856175,36.3875962339126,5.0,6.0,1011.0,1485,1500.7243592895518,159.55591938681238,
57,1.565864086151123,0.02687811851501465,37.204985142147514,36.40162674661335,4.0,6.0,1010.0,1541,1508.7794874316414,187.5829200783578,
58,1.5940170288085938,0.028152942657470703,35.52026557815755,36.386060469724455,5.0,6.0,1012.0,1574,1521.8235899453132,242.73233316555294,
59,1.6216940879821777,0.027677059173583984,36.13100632289854,36.3817075225401,5.0,8.0,1005.0,1565,1530.4588719562505,256.58615231988,
60,1.6488001346588135,0.027106046676635742,36.89213746030909,36.39009892027684,4.0,6.0,1013.0,1541,1532.5670975650005,220.82431164697368,
61,1.6765620708465576,0.02776193618774414,36.020542415966744,36.383979490362,5.0,9.0,1007.0,1522,1530.4536780520004,161.4341458754289,
62,1.7047841548919678,0.028222084045410156,35.433244348325616,36.36824041453444,4.0,7.0,1016.0,1626,1549.5629424416004,264.56796358703366,
63,1.7328729629516602,0.028088808059692383,35.60136827005509,36.35580988735031,3.0,6.0,1009.0,1597,1559.0503539532806,279.20733710100427,
64,1.7616839408874512,0.028810977935791016,34.708991906787375,36.32887745333019,6.0,7.0,1014.0,1583,1563.8402831626245,256.61659251304366,
65,1.7893660068511963,0.027682065963745117,36.12447139276701,36.325715226021615,5.0,7.0,1014.0,1597,1570.4722265300998,253.20836370179734,
66,1.8159141540527344,0.026548147201538086,37.66741205736814,36.345330451168095,5.0,7.0,1016.0,1794,1615.1777812240798,539.355200943709,
67,1.8437371253967285,0.02782297134399414,35.94152427633721,36.33923680176652,4.0,6.0,1011.0,961,1484.342224979264,-509.0017034412583,
68,1.87068510055542,0.026947975158691406,37.10853947694377,36.35031891781803,6.0,7.0,1003.0,929,1373.2737799834113,-1231.518917907279,
69,1.8970880508422852,0.026402950286865234,37.87455527261563,36.37153265994417,4.0,8.0,1015.0,1214,1341.419023986729,-1226.5120776642293,
70,1.9231650829315186,0.0260770320892334,38.34792228571428,36.398331386766664,6.0,7.0,1003.0,891,1251.3352191893832,-1672.1150112453972,
71,1.950181245803833,0.027016162872314453,37.014879008772084,36.40687251647472,5.0,5.0,1017.0,1018,1204.6681753515068,-1683.16700526753,
72,1.977398157119751,0.02721691131591797,36.741862013385195,36.4114833124322,5.0,7.0,1012.0,961,1155.9345402812055,-1704.6465032467597,
73,2.0055251121520996,0.028126955032348633,35.55308418027854,36.399444493449785,6.0,7.0,1015.0,1377,1200.1476322249646,-1049.3348466480354,
74,2.0374181270599365,0.031893014907836914,31.35482809918591,36.320477872052955,6.0,6.0,1012.0,1602,1280.5181057799718,-335.46740080494436,
75,2.063282012939453,0.0258638858795166,38.663950369189074,36.349854033356934,5.0,6.0,1012.0,1654,1355.2144846239776,309.2374962326009,
76,2.0899930000305176,0.026710987091064453,37.43777781744827,36.36375815559682,5.0,6.0,1015.0,975,1279.171587699182,-321.98541894704226,
77,2.1166841983795166,0.026691198348999023,37.46553402828023,36.377651450768795,4.0,6.0,1007.0,971,1217.5372701593458,-719.4208593773469,
78,2.144719123840332,0.02803492546081543,35.669793429545784,36.368398608920536,6.0,7.0,1014.0,919,1157.8298161274768,-1001.4871978060512,
79,2.1712591648101807,0.026540040969848633,37.678916966860406,36.384417521575074,6.0,8.0,1007.0,906,1107.4638529019815,-1180.7367475107176,
80,2.1982579231262207,0.02699875831604004,37.0387403855494,36.39245384191731,3.0,7.0,1015.0,905,1066.971082321585,-1244.549641412357,
81,2.224011182785034,0.025753259658813477,38.83003601284983,36.42068017777103,3.0,7.0,1006.0,896,1032.7768658572681,-1261.1922444780075,
82,2.249439001083374,0.025427818298339844,39.327007463526236,36.45353350791339,8.0,8.0,1015.0,897,1005.6214926858146,-1222.541708260125,
83,2.2748770713806152,0.02543807029724121,39.31115797366324,36.48548796073081,4.0,7.0,1006.0,1466,1097.6971941486518,-254.11287745981042,
84,2.3013179302215576,0.026440858840942383,37.82025410050405,36.500823678852996,7.0,6.0,1017.0,1658,1209.7577553189215,644.3414776530873,
85,2.3283491134643555,0.02703118324279785,36.99431101546169,36.506552865488594,5.0,5.0,1009.0,1602,1288.2062042551372,1095.902445847856,
86,2.356222152709961,0.02787303924560547,35.87696308208164,36.49910510394313,6.0,8.0,1010.0,1565,1343.56496340411,1273.9427883297933,
87,2.383068084716797,0.026845932006835938,37.249591474245115,36.507559543914184,4.0,6.0,1010.0,1322,1339.251970723288,987.0227875854295,
