107 Time: 2.81518316 Hz: 38.00 | Pos: X: 1560 | Vel: X: 882.012
108 Time: 2.83564019 Hz: 38.08 | Pos: X: 1593 | Vel: X: 745.981
109 Time: 2.86407399 Hz: 38.05 | Pos: X: 1541 | Vel: X: 697.600
110 Time: 2.89057207 Hz: 38.05 | Pos: X: 1518 | Vel: X: 587.205
111 Time: 2.91585111 Hz: 38.06 | Pos: X: 1569 | Vel: X: 589.354
112 Time: 2.94080519 Hz: 38.08 | Pos: X: 1518 | Vel: X: 534.505
113 Time: 2.96721315 Hz: 38.08 | Pos: X: 1536 | Vel: X: 456.848
114 Time: 2.99461102 Hz: 38.06 | Pos: X: 1499 | Vel: X: 400.428
115 Time: 3.02121615 Hz: 38.06 | Pos: X: 1452 | Vel: X: 283.239
116 Time: 3.04839205 Hz: 38.05 | Pos: X: 1471 | Vel: X: 179.397
117 Time: 3.07750916 Hz: 38.01 | Pos: X: 1363 | Vel: X: 5.49338
118 Time: 3.10719227 Hz: 37.97 | Pos: X: 0 | Vel: X: -1920.6
119 Time: 3.12523698 Hz: 38.07 | Pos: X: 1364 | Vel: X: -115.32
120 Time: 3.15125823 Hz: 38.08 | Pos: X: 1345 | Vel: X: -103.27
121 Time: 3.17949700 Hz: 38.05 | Pos: X: 0 | Vel: X: -1977.9
122 Time: 3.19660401 Hz: 38.16 | Pos: X: error | Vel: X: -10000.
123 Time: 3.20702600 Hz: 38.35 | Pos: X: 1195 | Vel: X: -435.80
124 Time: 3.23395609 Hz: 38.34 | Pos: X: 1172 | Vel: X: -478.02
125 Time: 3.25957417 Hz: 38.34 | Pos: X: 1134 | Vel: X: -556.49
126 Time: 3.28626012 Hz: 38.34 | Pos: X: 1139 | Vel: X: -550.30
127 Time: 3.31535696 Hz: 38.30 | Pos: X: 1097 | Vel: X: -612.60
128 Time: 3.34376406 Hz: 38.28 | Pos: X: 1027 | Vel: X: -749.32
129 Time: 3.37074112 Hz: 38.27 | Pos: X: 1046 | Vel: X: -724.00
130 Time: 3.39922308 Hz: 38.24 | Pos: X: 929 | Vel: X: -911.43
131 Time: 3.42809414 Hz: 38.21 | Pos: X: 0 | Vel: X: -2192.6
132 Time: 3.44407415 Hz: 38.32 | Pos: X: error | Vel: X: -10000.
133 Time: 3.45527315 Hz: 38.49 | Pos: X: 850 | Vel: X: -1070.5
134 Time: 3.48237609 Hz: 38.47 | Pos: X: 850 | Vel: X: -981.87
135 Time: 3.50430917 Hz: 38.52 | Pos: X: 761 | Vel: X: -1144.9
136 Time: 3.53161811 Hz: 38.50 | Pos: X: 0 | Vel: X: -2177.4
137 Time: 3.54899406 Hz: 38.60 | Pos: X: 649 | Vel: X: -1323.3
138 Time: 3.57832407 Hz: 38.56 | Pos: X: 546 | Vel: X: -1393.0
139 Time: 3.60518407 Hz: 38.55 | Pos: X: 588 | Vel: X: -1301.4
140 Time: 3.63370823 Hz: 38.52 | Pos: X: 551 | Vel: X: -1418.1
141 Time: 3.66495919 Hz: 38.47 | Pos: X: 490 | Vel: X: -1419.5
142 Time: 3.69088697 Hz: 38.47 | Pos: X: 466 | Vel: X: -1478.5
143 Time: 3.71626925 Hz: 38.47 | Pos: X: 429 | Vel: X: -1482.6
144 Time: 3.74316501 Hz: 38.47 | Pos: X: 391 | Vel: X: -1469.6
145 Time: 3.77101492 Hz: 38.45 | Pos: X: 354 | Vel: X: -1545.7
146 Time: 3.79666209 Hz: 38.45 | Pos: X: 0 | Vel: X: -1895.2
147 Time: 3.81487321 Hz: 38.53 | Pos: X: 391 | Vel: X: 552.508
148 Time: 3.84252214 Hz: 38.51 | Pos: X: 354 | Vel: X: -1408.0
149 Time: 3.87077522 Hz: 38.49 | Pos: X: 368 | Vel: X: -1357.8
150 Time: 3.89809632 Hz: 38.48 | Pos: X: 363 | Vel: X: 505.149
151 Time: 3.92646193 Hz: 38.45 | Pos: X: 396 | Vel: X: -1110.5
152 Time: 3.95258307 Hz: 38.45 | Pos: X: error | Vel: X: -10000.
153 Time: 3.96096110 Hz: 38.62 | Pos: X: error | Vel: X: -10000.
154 Time: 3.97165489 Hz: 38.77 | Pos: X: 354 | Vel: X: -1108.8
155 Time: 3.99763107 Hz: 38.77 | Pos: X: 396 | Vel: X: -999.92
156 Time: 4.02672910 Hz: 38.74 | Pos: X: 433 | Vel: X: -953.44
157 Time: 4.04695105 Hz: 38.79 | Pos: X: 429 | Vel: X: -913.07
158 Time: 4.07349729 Hz: 38.78 | Pos: X: 443 | Vel: X: -800.29
159 Time: 4.09972524 Hz: 38.78 | Pos: X: 419 | Vel: X: -860.10
160 Time: 4.12907290 Hz: 38.74 | Pos: X: 419 | Vel: X: -698.77
161 Time: 4.15734720 Hz: 38.72 | Pos: X: 438 | Vel: X: 600.614
162 Time: 4.18328714 Hz: 38.72 | Pos: X: 457 | Vel: X: -539.82
163 Time: 4.21272397 Hz: 38.69 | Pos: X: 0 | Vel: X: -1163.8
164 Time: 4.23108720 Hz: 38.76 | Pos: X: 447 | Vel: X: -432.04
165 Time: 4.25991606 Hz: 38.73 | Pos: X: 485 | Vel: X: 665.936
166 Time: 4.28604412 Hz: 38.73 | Pos: X: 438 | Vel: X: -286.27
167 Time: 4.30673909 Hz: 38.77 | Pos: X: 480 | Vel: X: -90.607
168 Time: 4.33223819 Hz: 38.77 | Pos: X: 457 | Vel: X: -180.17
169 Time: 4.36010503 Hz: 38.76 | Pos: X: 480 | Vel: X: -97.742
170 Time: 4.38738512 Hz: 38.74 | Pos: X: 480 | Vel: X: -13.842
171 Time: 4.41767716 Hz: 38.70 | Pos: X: 475 | Vel: X: 12.3832
172 Time: 4.44485521 Hz: 38.69 | Pos: X: 485 | Vel: X: 76.8612
173 Time: 4.47128725 Hz: 38.69 | Pos: X: 485 | Vel: X: 129.099
174 Time: 4.49775004 Hz: 38.68 | Pos: X: 485 | Vel: X: 180.258
175 Time: 4.52519202 Hz: 38.67 | Pos: X: 494 | Vel: X: 678.077
176 Time: 4.55478501 Hz: 38.64 | Pos: X: 480 | Vel: X: 120.284
177 Time: 4.58271813 Hz: 38.62 | Pos: X: 480 | Vel: X: 170.225
178 Time: 4.61005330 Hz: 38.61 | Pos: X: 485 | Vel: X: 158.262
179 Time: 4.63132715 Hz: 38.64 | Pos: X: 494 | Vel: X: 178.661
180 Time: 4.65847706 Hz: 38.63 | Pos: X: 461 | Vel: X: 88.7959
181 Time: 4.67908620 Hz: 38.68 | Pos: X: 513 | Vel: X: 224.756
182 Time: 4.70673203 Hz: 38.66 | Pos: X: 480 | Vel: X: 118.459
183 Time: 4.73475217 Hz: 38.65 | Pos: X: 485 | Vel: X: 73.4439
184 Time: 4.75751018 Hz: 38.67 | Pos: X: 457 | Vel: X: 39.4055
185 Time: 4.78618407 Hz: 38.65 | Pos: X: 490 | Vel: X: 65.9476
186 Time: 4.81394791 Hz: 38.63 | Pos: X: 471 | Vel: X: 72.8064
187 Time: 4.84238314 Hz: 38.61 | Pos: X: 457 | Vel: X: 53.2727
188 Time: 4.86773419 Hz: 38.62 | Pos: X: 466 | Vel: X: 39.4151
189 Time: 4.89664411 Hz: 38.59 | Pos: X: 522 | Vel: X: 91.1184
190 Time: 4.92280197 Hz: 38.59 | Pos: X: 504 | Vel: X: 709.781
